CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,3691.7699999999995,1,At-Risk
12347.0,2,7,3691.7699999999995,3,High-Value
12348.0,75,4,1797.24,0,Regular
12349.0,19,1,1757.55,2,Occasional
12350.0,310,1,334.4,1,At-Risk
12352.0,36,8,2506.04,3,High-Value
12353.0,204,1,89.0,1,At-Risk
12354.0,232,1,1079.4,1,At-Risk
12355.0,214,1,459.4,1,At-Risk
12356.0,23,3,2811.43,0,Regular
12357.0,33,1,3691.7699999999995,0,Regular
12358.0,2,2,1168.06,2,Occasional
12359.0,58,4,3691.7699999999995,0,Regular
12360.0,52,3,2662.06,0,Regular
12361.0,287,1,189.9,1,At-Risk
12362.0,3,10,3691.7699999999995,3,High-Value
12363.0,110,2,552.0,2,Occasional
12364.0,8,4,1313.1,0,Regular
12365.0,291,2,641.38,1,At-Risk
12367.0,4,1,168.9,2,Occasional
12370.0,51,4,3541.94,0,Regular
12371.0,45,2,1887.96,0,Regular
12372.0,72,3,1298.04,2,Occasional
12373.0,311,1,364.6,1,At-Risk
12374.0,25,1,742.9300000000001,2,Occasional
12375.0,11,2,457.5,2,Occasional
12377.0,315,2,1628.12,1,At-Risk
12378.0,130,1,3691.7699999999995,0,Regular
12379.0,82,2,852.24,2,Occasional
12380.0,22,4,2724.81,0,Regular
12381.0,5,5,1845.31,0,Regular
12383.0,185,5,1850.56,0,Regular
12384.0,29,2,585.27,2,Occasional
12386.0,328,2,401.9,1,At-Risk
12388.0,16,6,2780.66,0,Regular
12390.0,80,1,549.84,2,Occasional
12391.0,22,1,439.66,2,Occasional
12393.0,72,4,1582.6000000000001,0,Regular
12394.0,64,2,1272.48,2,Occasional
12395.0,19,11,3018.63,3,High-Value
12397.0,36,2,2409.9,0,Regular
12398.0,46,1,1635.6599999999999,2,Occasional
12399.0,119,4,1108.65,2,Occasional
12401.0,303,1,84.3,1,At-Risk
12402.0,323,1,225.6,1,At-Risk
12403.0,50,1,427.7,2,Occasional
12405.0,149,1,1710.39,2,Occasional
12406.0,22,2,3415.3,0,Regular
12407.0,50,5,1708.1200000000001,0,Regular
12408.0,33,5,2888.55,0,Regular
12409.0,79,3,3691.7699999999995,0,Regular
12410.0,309,2,693.3299999999999,1,At-Risk
12412.0,75,3,1226.88,2,Occasional
12413.0,67,3,758.1,2,Occasional
12414.0,217,3,562.41,1,At-Risk
12415.0,24,11,3691.7699999999995,3,High-Value
12417.0,3,9,3649.1,3,High-Value
12418.0,113,1,668.58,2,Occasional
12420.0,64,1,600.39,2,Occasional
12421.0,16,4,807.04,2,Occasional
12422.0,96,3,803.5600000000001,2,Occasional
12423.0,1,8,1859.31,0,Regular
12424.0,163,2,1760.96,1,At-Risk
12425.0,78,1,777.2,2,Occasional
12426.0,195,1,582.73,1,At-Risk
12427.0,22,3,825.8,2,Occasional
12428.0,26,9,3691.7699999999995,3,High-Value
12429.0,9,4,3691.7699999999995,0,Regular
12430.0,43,1,256.4,2,Occasional
12431.0,36,11,3691.7699999999995,3,High-Value
12432.0,43,5,3691.7699999999995,0,Regular
12433.0,1,7,3691.7699999999995,3,High-Value
12434.0,85,2,806.14,2,Occasional
12435.0,80,2,3691.7699999999995,0,Regular
12436.0,100,1,509.01,2,Occasional
12437.0,2,11,3691.7699999999995,3,High-Value
12438.0,14,2,2906.85,0,Regular
12441.0,328,1,173.55,1,At-Risk
12442.0,3,1,172.06,2,Occasional
12444.0,21,5,3691.7699999999995,0,Regular
12445.0,22,1,133.4,2,Occasional
12446.0,58,1,1002.3100000000001,2,Occasional
12447.0,243,1,476.49,1,At-Risk
12448.0,44,1,449.45,2,Occasional
12449.0,22,4,3691.7699999999995,0,Regular
12450.0,156,2,197.88,1,At-Risk
12451.0,11,5,3691.7699999999995,0,Regular
12452.0,17,2,430.57,2,Occasional
12453.0,134,1,707.09,2,Occasional
12454.0,56,1,3528.34,0,Regular
12455.0,73,6,2466.86,0,Regular
12456.0,44,3,3181.04,0,Regular
12457.0,66,7,2363.23,0,Regular
